Player,Run Value,Run Value - Normalized,Standardized Runs
Babar Azam,329.7314120533333,1648.6570602666666,7.349812666068331
Muhammad Rizwan,275.015407632,1375.07703816,6.0645544743017625
Sahibzada Farhan,239.00492927999994,1195.0246463999997,5.218681995475521
Shoaib Malik,218.3323076666667,1091.6615383333335,4.7330899542652185
Fakhar Zaman,213.25028834666665,1066.2514417333332,4.613715247891386
Iftikhar Ahmed,292.96310165333335,1464.8155082666667,6.486138999856863
Kamran Ghulam,145.78808048000002,728.9404024,3.029053571435232
Azam Khan,154.47958177600003,772.39790888,3.233213640460271
Shan Masood,108.18251640000001,540.912582,2.1457131338250233
Mohammad Haris,114.93700062133335,574.6850031066667,2.3043734064168935
Saim Ayub,147.09892132266665,735.4946066133333,3.0598447256680252
Tayyab Tahir,139.80178944,699.0089472,2.8884378653209333
Sharjeel Khan,101.52809203200002,507.64046016000003,1.989403229238342
Hussain Talat,96.10562001599999,480.52810007999994,1.8620314181586617
Abdullah Shafique,96.87282379999999,484.36411899999996,1.8800527440681218
Shadab Khan,90.54535533333335,452.7267766666667,1.7314229095994849
Haider Ali,75.96373587200002,379.81867936000003,1.3889061988106675
Omair Bin Yousuf,108.85918418666668,544.2959209333334,2.1616078034946313
Imad Wasim,124.232367168,621.16183584,2.522718041152653
Ahmed Shehzad,85.46365497599999,427.31827487999993,1.6120556955377197
Saud Shakil,74.20036138666669,371.0018069333334,1.3474852009436673
Sarfraz Ahmed,66.43927596533335,332.1963798266667,1.1651802479365432
Mohammad Nawaz,64.67657703466668,323.38288517333336,1.1237751185924458
Khushdil Shah,54.2190264,271.095132,0.8781312204100954
Abdul Wahid Bangalzai,52.91640968533334,264.5820484266667,0.8475332478248636
Qasim Akram,49.19266628266667,245.96333141333335,0.7600639275970869
Usman Khan,204.96896201600003,1024.8448100800001,4.419190033235331
Mohammad Ikhlaq,40.09889984,200.49449919999998,0.5464548028435937
Umar Amin,44.35774304,221.7887152,0.6464934143639042
Salman Ali Agha,40.59396000000001,202.96980000000002,0.5580835782409653
Zeeshan Malik,46.858158720000006,234.2907936,0.7052272303566631
Khurram Manzoor,38.16567274666667,190.82836373333336,0.5010440316345218
Faheem Ashraf,43.989397088000004,219.94698544,0.6378411076536672
Sohaib Maqsood,42.757382304,213.78691151999996,0.6089015476426634
Asif Ali,37.926688000000006,189.63344,0.49543037057485506
Nasir Nawaz,34.91015514666666,174.5507757333333,0.4245731579277992
Irfan Khan Niazi,53.55239502666667,267.76197513333335,0.8624723022831863
Haseebullah Khan,34.490888709333326,172.45444354666662,0.4147247483296496
Mohammad Hafeez,46.947469536,234.73734767999997,0.7073251075516689
Sajjad Ali,57.72300736,288.6150368,0.9604384042087392
Mirza Baig,40.42761930933333,202.13809654666665,0.5541762985050915
Adil Amin,41.108091648,205.54045824,0.5701603356582302
Anwar Ali,39.754894816,198.77447407999998,0.5383742553003145
Aamer Jamal,45.86645828266668,229.33229141333337,0.68193256320505
Mohammad Huraira,41.920352128000005,209.60176064,0.5892400262681172
Zain Abbas,40.694160000000004,203.4708,0.5604372382381999
Danish Aziz,18.78478624,93.9239312,0.0457943581645869
Aamer Yamin,28.698750000000004,143.49375,0.27866960682672975
Asad Shafiq,26.58116795733334,132.9058397866667,0.22892840777795614
Ali Imran,36.60816065600001,183.04080328000003,0.46445866334099345
Aamer Azmat,27.476593200000003,137.382966,0.24996160712105714
Yasir Khan,47.24253333333334,236.2126666666667,0.7142560442424439
Rehan Afridi,31.771698431999994,158.85849215999997,0.3508520000199785
Ammad Alam,28.685486400000002,143.427432,0.2783580498932035
Mubasir Khan,12.649785045333331,63.24892522666666,-0.09831449308166204
Imran Butt,31.69444068,158.47220339999998,0.34903724472697784
Shaheen Shah Afridi,26.897634240000002,134.4881712,0.23636208073190926
Umar Akmal,21.658652128000004,108.29326064000001,0.11330037790513622
Haris Sohail,34.02202496,170.11012480000002,0.4037113166833489
Israrullah,24.91151712,124.5575856,0.18970894285599074
Sharoon Siraj,28.248382848000002,141.24191424,0.26809065323660064
Sohail Tanvir,34.76143776,173.8071888,0.4210798429189109
Ahsan Ali,27.993333016000005,139.96666508,0.2620996294154447
Mohammad Sarwar,21.606002000000004,108.03001,0.11206364636698367
Kamran Akmal,19.758244330666667,98.79122165333332,0.06866051951175879
Samiullah,30.142470768,150.71235384,0.3125820601083522
Yasir Khan,18.857387520000007,94.28693760000003,0.0474997346963639
Rohail Nazir,10.911124224000002,54.555621120000005,-0.1391549763544317
Kashif Bhatti,16.987382186666668,84.93691093333334,0.00357401865163082
Amad Butt,18.164207917333336,90.82103958666667,0.031217208731337952
Umar Siddiq,17.950523584,89.75261791999999,0.026197844785205777
Faizan Khan,35.8443624,179.221812,0.44651733199264154
Saad Khan,15.728951173333336,78.64475586666667,-0.025986048567552968
Khalid Usman,19.002328106666667,95.01164053333333,0.050904334105675776
Zeeshan Ashraf,6.583637866666668,32.91818933333334,-0.24080598960627259
Mohammad Imran,8.6540608,43.270303999999996,-0.19217254014974533
Salman Khan,21.164932800000003,105.824664,0.1017030981429086
Hassan Khan,9.484541013333335,47.42270506666667,-0.1726648749140405
Khawaja Nafay,13.485884533333333,67.42942266666667,-0.07867483321525451
Hasan Nawaz,8.307360000000001,41.5368,-0.20031641044883988
Sohail Akhtar,19.644566186666673,98.22283093333336,0.06599026302380795
Mohammad Faiq,145.335224,726.67612,3.0184161444745077
Mohammad Suleman,20.795443200000005,103.97721600000001,0.09302392757490208
Umaid Asif,8.836610272,44.18305136,-0.18788452228784194
