Sr.,Player,Runs,Ave,SR,T20 VALUE,T20_NORMALIZED,T20_PERCENTILE,T20_STANDARDIZED,T20_STANDARDIZED_SHIFTED,AVG,STDEV,SHIFT
268,Ayaz Tasawwar,6,3,37.5,0.02,0.09,0.25,-0.395030333,0.03996812779,,,
269,Adil Naz,6,,200,0.00,0,0.003,-0.3954531461,0.03954531461,,,
270,Khurram Ali Shah,6,,200,0.00,0,0.003,-0.3954531461,0.03954531461,,,
271,Asif Ali,6,6,42.85,0.04,0.20568,0.288,-0.3944868771,0.04051158365,,,
272,Arsal Sheikh,6,3,50,0.02,0.12,0.269,-0.3948893952,0.04010906551,,,
273,Junaid Khan,5,1.66,50,0.01,0.05533333333,0.242,-0.3951931943,0.03980526642,,,
274,Aftab Ahmed,5,,62.5,0.00,0,0.003,-0.3954531461,0.03954531461,,,
275,Mustafa Nasir,5,5,125,0.08,0.4166666667,0.313,-0.3934956777,0.04150278301,,,
276,Syed Faraz,5,2.5,27.77,0.01,0.04628333333,0.236,-0.3952357105,0.0397627502,,,
277,Mohsin Ali,5,5,83.33,0.06,0.2777666667,0.299,-0.3941482194,0.04085024134,,,
278,Tariq Nawaz,5,2.5,50,0.02,0.08333333333,0.247,-0.3950616524,0.03993680829,,,
279,Shahid Afridi,4,4,50,0.02,0.1066666667,0.258,-0.3949520342,0.04004642652,,,
280,Mohammad Umar,4,2,33.33,0.01,0.035552,0.225,-0.3952861255,0.03971233521,,,
281,Faizan Saleem,4,2,57.14,0.01,0.06094933333,0.245,-0.3951668108,0.03983164996,,,
282,Afnan Khan,4,4,66.66,0.03,0.142208,0.272,-0.3947850637,0.04021339701,,,
283,Shayan Sheikh,4,,400,0.00,0,0.003,-0.3954531461,0.03954531461,,,
284,Mohammad Junaid,4,1.33,40,0.01,0.02837333333,0.223,-0.3953198504,0.03967861038,,,
285,Naveed Yousuf,4,,66.66,0.00,0,0.003,-0.3954531461,0.03954531461,,,
286,Adeel-ur-Rehman,4,4,80,0.03,0.1706666667,0.277,-0.3946513671,0.04034709367,,,
287,Gulfam Aziz,4,,33.33,0.00,0,0.003,-0.3954531461,0.03954531461,,,
288,Mehroz Ali,4,2,133.33,0.03,0.1422186667,0.275,-0.3947850136,0.04021344712,,,
289,Saleem Mal,4,,100,0.00,0,0.003,-0.3954531461,0.03954531461,,,
290,Obaid Ullah,4,2,100,0.02,0.1066666667,0.258,-0.3949520342,0.04004642652,,,
291,Mohammad Mohsin,3,3,75,0.02,0.09,0.25,-0.395030333,0.03996812779,,,
292,Nauman Ali,3,1.5,23.07,0.00,0.013842,0.212,-0.3953881175,0.03961034328,,,
293,Usman Tariq,3,3,42.85,0.01,0.05142,0.239,-0.3952115789,0.03978688187,,,
294,Sohaibullah,3,1.5,37.5,0.00,0.0225,0.217,-0.3953474428,0.03965101791,,,
295,Sirajuddin,3,,100,0.00,0,0.003,-0.3954531461,0.03954531461,,,
296,Ameer Hamza,3,,60,0.00,0,0.003,-0.3954531461,0.03954531461,,,
297,Usama Khalil,3,1.5,37.5,0.00,0.0225,0.217,-0.3953474428,0.03965101791,,,
298,Kamran Afzal,3,,150,0.00,0,0.003,-0.3954531461,0.03954531461,,,
299,Shoaib Akhtar,3,3,30,0.01,0.036,0.234,-0.3952840209,0.03971443988,,,
300,Bilawal Bhatti,3,3,75,0.02,0.09,0.25,-0.395030333,0.03996812779,,,
301,Ihsanullah,2,1,33.33,0.00,0.008888,0.201,-0.395411391,0.03958706976,,,
302,Atif Khan,2,2,33.33,0.00,0.017776,0.214,-0.3953696358,0.03962882491,,,
303,Daniyal Allah Ditta,2,2,25,0.00,0.01333333333,0.203,-0.3953905071,0.0396079536,,,
304,Zaki Shaz Khan,2,,100,0.00,0,0.003,-0.3954531461,0.03954531461,,,
305,Muhammad Abbas,2,2,66.66,0.01,0.035552,0.225,-0.3952861255,0.03971233521,,,
306,Sadaqat Ali,2,1,50,0.00,0.01333333333,0.203,-0.3953905071,0.0396079536,,,
307,Asfand Mehran,2,,100,0.00,0,0.003,-0.3954531461,0.03954531461,,,
308,Haris Khan,2,1,16.66,0.00,0.004442666667,0.181,-0.3954322748,0.03956618592,,,
309,Ali Haider,2,2,66.66,0.01,0.035552,0.225,-0.3952861255,0.03971233521,,,
310,Kashif Ali,2,1,25,0.00,0.006666666667,0.195,-0.3954218266,0.03957663411,,,
311,Najeebullah,1,,50,0.00,0,0.003,-0.3954531461,0.03954531461,,,
312,Mohammad Ibrahim,1,1,33.33,0.00,0.004444,0.184,-0.3954322685,0.03956619219,,,
313,Athar Mahmood,1,,33.33,0.00,0,0.003,-0.3954531461,0.03954531461,,,
314,Mohammad Ayaz,1,1,33.33,0.00,0.004444,0.184,-0.3954322685,0.03956619219,,,
315,Ziaullah,1,1,25,0.00,0.003333333333,0.176,-0.3954374864,0.03956097436,,,
316,Asad Raza,1,,100,0.00,0,0.003,-0.3954531461,0.03954531461,,,
317,Asad Malik,1,1,25,0.00,0.003333333333,0.176,-0.3954374864,0.03956097436,,,
318,Mohammad Waheed,1,1,33.33,0.00,0.004444,0.184,-0.3954322685,0.03956619219,,,
319,Usman Yousaf,1,1,20,0.00,0.002666666667,0.173,-0.3954406183,0.03955784241,,,
320,Hidayatullah,1,,16.66,0.00,0,0.003,-0.3954531461,0.03954531461,,,
321,Irfanullah Shah,1,1,50,0.00,0.006666666667,0.195,-0.3954218266,0.03957663411,,,
322,Faheem Rasheed,1,,25,0.00,0,0.003,-0.3954531461,0.03954531461,,,
323,Khayam Khan,1,1,33.33,0.00,0.004444,0.184,-0.3954322685,0.03956619219,,,
324,Arafat Minhas,1,1,100,0.00,0.01333333333,0.203,-0.3953905071,0.0396079536,,,
325,Ehsan Adil,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
326,Taj Wali,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
327,Ashir Qureshi,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
328,Aarish Ali,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
329,Ghulam Mudassar,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
330,Zeeshan Zameer,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
331,Mohammad Irfan,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
332,Aimal Khan,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
333,Mohammad Ikram,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
334,Asim Jutt,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
335,Majid Asghar,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
336,Mohammad Asghar,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
337,Waleed Azeem,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
338,Umair Afridi,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
339,Asif Ali,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
340,Aamer Khan,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
341,Ahmed Bashir,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
342,Tahir Hussain,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
343,Aqib Khan,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
344,Mohammad Faizan,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
345,Bakhtiar Shah,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
346,Zeeshan Tahir,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
347,Mohammad Sudais,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
348,Sabit Ali,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
349,Abdur Rahman,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
350,Bohir Aman,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
351,Shiraz Khan,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
352,Rao Sajid Ali,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
353,Imran Shah,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
354,Abubakar,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
355,Shahzaib Bhatti,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
356,Awais Anwar,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
357,Sajid Khan,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
358,Shakib Ali,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
359,Ali Shafiq,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
360,Ubaid Shah,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
361,Mohammad Zeeshan,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
362,Saad Baig,0,0,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
363,Tayyab Abbas,0,,,0.00,0,0.003,-0.3954531461,0.03954531461,,,
