Player ID,Player Name,Tournament,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Special Batting Talent,Balls Bowled,Runs Given,Wickets Taken,Maidens Bowled,Batters Dismissed,Special Bowling Talent
7,Yasir Khan,National T-20 2025,5,1,3,2,104,10,111,105,7,79,4,2,1,YES,,,,,,,
7,Yasir Khan,National T-20 2025,15,2,3,1,183,10,116,207,3,120,5,9,1,YES,,,,,,,
7,Yasir Khan,National T-20 2025,23,1,3,4,218,3,120,127,10,104,2,6,1,YES,,,,,,,
7,Yasir Khan,National T-20 2025,,,,,,,,,,,,,,YES,,,,,,,
7,Yasir Khan,Champions T20 cup 2024,2,1,1,4,216,3,120,181,10,115,27,15,1,YES ,,,,,,,
7,Yasir Khan,Champions T20 cup 2024,4,1,1,3,162,5,120,150,7,120,0,1,2,YES ,,,,,,,
7,Yasir Khan,Champions T20 cup 2024,7,2,1,2,167,5,120,170,6,120,17,10,1,YES ,,,,,,,
7,Yasir Khan,Champions T20 cup 2024,9,1,1,5,190,4,120,185,9,120,36,33,1,YES ,,,,,,,
7,Yasir Khan,Champions T20 cup 2024,11,2,1,4,170,4,120,168,7,120,20,13,1,YES ,,,,,,,
7,Yasir Khan,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
7,Yasir Khan,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
7,Yasir Khan,Champions T20 cup 2024,20,2,1,5,133,4,84,131,10,120,32,26,1,YES ,,,,,,,
7,Yasir Khan,Champions T20 cup 2024,22,1,1,2,199,5,120,124,10,115,100,57,2,YES,,,,,,,
8,Maaz Sadaqat Champions One,National T-20 2025,3,2,2,7,182,2,112,181,3,120,37,38,2,YES,,,,,,,
8,Maaz Sadaqat Champions One,National T-20 2025,23,2,2,9,167,9,120,183,3,120,4,6,2,YES,,,,,,,
8,Maaz Sadaqat Champions One,National T-20 2025,25,2,2,17,132,3,79,131,9,120,,,,,,12,9,0,0,,
8,Maaz Sadaqat Champions One,National T-20 2025,31,1,2,16,239,2,120,113,10,117,54,38,3,NO,,,,,,,
8,Maaz Sadaqat Champions One,National T-20 2025,35,2,2,7,140,7,116,138,7,120,14,13,1,YES,,12,14,1,0,2,
8,Maaz Sadaqat Champions One,National T-20 2025,37,1,2,4,234,3,120,187,8,120,31,17,3,YES,,,,,,,
8,Maaz Sadaqat Champions One,National T-20 2025,39,1,2,1,110,9,120,111,1,96,1,4,3,YES,,,,,,,
8,Maaz Sadaqat Champions One,Champions T20 cup 2024,2,1,1,4,216,3,120,181,10,115,19,16,2,YES ,,6,12,0,0,,
8,Maaz Sadaqat Champions One,Champions T20 cup 2024,4,1,1,3,162,5,120,150,7,120,32,29,3,YES,,,,,,,
8,Maaz Sadaqat Champions One,Champions T20 cup 2024,7,2,1,2,167,5,120,170,6,120,82,53,2,YES ,,18,19,1,0,2,
8,Maaz Sadaqat Champions One,Champions T20 cup 2024,9,1,1,5,190,4,120,185,9,120,23,16,2,YES ,,12,24,0,0,,
8,Maaz Sadaqat Champions One,Champions T20 cup 2024,11,2,1,4,170,4,120,168,7,120,18,14,2,YES ,,18,26,0,0,,
8,Maaz Sadaqat Champions One,Champions T20 cup 2024,14,1,1,3,168,10,120,169,7,114,34,27,2,YES ,,12,16,2,0,"5,8",
8,Maaz Sadaqat Champions One,Champions T20 cup 2024,17,1,1,2,147,9,120,118,10,111,20,19,1,YES,,18,21,1,0,9,
