Sr.,Player,Runs,Ave,FC VALUE,FC_NORMALIZED,FC_PERCENTILE,FC_STANDARDIZED,FC_STANDARDIZED_SHIFTED,AVG,STDEV,SHIFT
198,Mohammad Junaid,45,15,2.25,4.5,0.338,-0.5231215776,0.08123529369,,,
199,Zain Khan,44,44,6.45,12.90666667,0.49,-0.4740009386,0.1303559326,,,
200,Moeez Ghani,44,7.33,1.08,2.150133333,0.26,-0.5368519843,0.06750488702,,,
201,Mohammad Wasim Khan,41,10.25,1.40,2.801666667,0.294,-0.5330450374,0.07131183392,,,
202,Najeebullah,39,5.57,0.72,1.4482,0.23,-0.5409534213,0.06340345001,,,
203,Mohammad Ibtisam,39,9.75,1.27,2.535,0.277,-0.5346031861,0.06975368518,,,
204,Aaliyan Mehmood,38,12.66,1.60,3.2072,0.304,-0.5306754827,0.07368138861,,,
205,Hamza Akbar,38,38,4.81,9.626666667,0.456,-0.4931661681,0.1111907032,,,
206,Mohammad Naveed,38,19,2.41,4.813333333,0.348,-0.5212907528,0.08306611846,,,
207,Azan Tariq,38,19,2.41,4.813333333,0.348,-0.5212907528,0.08306611846,,,
208,Abuzar Tariq,37,5.28,0.65,1.3024,0.223,-0.5418053391,0.06255153218,,,
209,Zeeshan Ahmad,37,37,4.56,9.126666667,0.453,-0.496087697,0.1082691743,,,
210,Jahanzaib Sultan,37,9.25,1.14,2.281666667,0.27,-0.5360834274,0.06827344388,,,
211,Naved Yasin,36,12,1.44,2.88,0.297,-0.5325873312,0.07176954011,,,
212,Ahmed Bashir,35,8.75,1.02,2.041666667,0.253,-0.5374857613,0.06687111002,,,
213,Bilal Asif,35,11.66,1.36,2.720666667,0.287,-0.533518325,0.07083854624,,,
214,Mohammad Faizan,35,11.66,1.36,2.720666667,0.287,-0.533518325,0.07083854624,,,
215,Ashiq Ali,34,17,1.93,3.853333333,0.321,-0.5269000883,0.077456783,,,
216,Mohammad Wasim,34,11.33,1.28,2.568133333,0.28,-0.5344095861,0.06994728517,,,
217,Rameez Alam,34,11.33,1.28,2.568133333,0.28,-0.5344095861,0.06994728517,,,
218,Nisar Khan,34,17,1.93,3.853333333,0.321,-0.5269000883,0.077456783,,,
219,Ghulam Mudassar,33,4.71,0.52,1.0362,0.213,-0.5433607611,0.06099611021,,,
220,Ali Asfand,33,8.25,0.91,1.815,0.24,-0.5388101877,0.06554668359,,,
221,Mohammad Azab,32,8,0.85,1.706666667,0.233,-0.5394431856,0.06491368567,,,
222,Abdul Rehman,30,6,0.60,1.2,0.216,-0.5424036682,0.06195320307,,,
223,Habibullah,29,9.66,0.93,1.8676,0.243,-0.5385028428,0.06585402843,,,
224,Ghulam Haider,29,29,2.80,5.606666667,0.368,-0.5166552603,0.08770161095,,,
225,Taj Wali,28,4,0.37,0.7466666667,0.169,-0.5450525211,0.05930435022,,,
226,Shoaib Akhtar,28,28,2.61,5.226666667,0.358,-0.5188756223,0.085481249,,,
227,Mohammad Saleem,25,12.5,1.04,2.083333333,0.257,-0.5372423005,0.06711457076,,,
228,Umaid Asif,24,6,0.48,0.96,0.203,-0.5438060021,0.06055086921,,,
229,Naqeeb Masood,24,12,0.96,1.92,0.25,-0.5381966666,0.06616020466,,,
230,Daniyal Hussain,23,5.75,0.44,0.8816666667,0.193,-0.5442637083,0.06009316301,,,
231,Faisal Akram,23,5.75,0.44,0.8816666667,0.193,-0.5442637083,0.06009316301,,,
232,Sadaqat Ali,22,22,1.61,3.226666667,0.307,-0.5305617378,0.07379513347,,,
233,Ahmed Daniyal,22,5.5,0.40,0.8066666667,0.182,-0.5447019376,0.05965493368,,,
234,Mohsin Khan,22,22,1.61,3.226666667,0.307,-0.5305617378,0.07379513347,,,
235,Umar Khan,22,5.5,0.40,0.8066666667,0.182,-0.5447019376,0.05965493368,,,
236,Taimur Ali,21,5.25,0.37,0.735,0.166,-0.5451206901,0.05923618121,,,
237,Mohammad Junaid,20,10,0.67,1.333333333,0.226,-0.5416245938,0.06273227744,,,
238,Hunain Shah,20,6.66,0.44,0.888,0.199,-0.5442267022,0.06013016905,,,
239,Umair Masood,20,5,0.33,0.6666666667,0.162,-0.5455199657,0.0588369056,,,
240,Usman Shinwari,19,9.5,0.60,1.203333333,0.22,-0.5423841913,0.06197267993,,,
241,Naseem Shah,19,6.33,0.40,0.8018,0.179,-0.5447303738,0.05962649747,,,
242,Raza Hasan,18,18,1.08,2.16,0.264,-0.5367943328,0.06756253852,,,
243,Mohammad Sadaqat,18,3.6,0.22,0.432,0.125,-0.5468911366,0.05746573471,,,
244,Shahnawaz Dhani,17,2.12,0.12,0.2402666667,0.101,-0.5480114455,0.05634542576,,,
245,Aaqib Liaquat,17,5.66,0.32,0.6414666667,0.152,-0.5456672107,0.05868966054,,,
246,Shadab Majeed,16,,0.00,0,0.003,-0.5494153375,0.05494153375,,,
247,Muneer Khan,16,16,0.85,1.706666667,0.233,-0.5394431856,0.06491368567,,,
248,Awais Anwar,15,3.75,0.19,0.375,0.108,-0.5472241909,0.05713268041,,,
249,Gauhar Ali,15,7.5,0.38,0.75,0.172,-0.5450330442,0.05932382708,,,
250,Anas Mustafa,15,7.5,0.38,0.75,0.172,-0.5450330442,0.05932382708,,,
251,Arshad Ullah,14,7,0.33,0.6533333333,0.155,-0.5455978731,0.05875899816,,,
252,Shehzad Gul,14,4.66,0.22,0.4349333333,0.128,-0.5468739969,0.05748287434,,,
253,Rohan Qadri,14,4.66,0.22,0.4349333333,0.128,-0.5468739969,0.05748287434,,,
254,Haider Abbas,14,7,0.33,0.6533333333,0.155,-0.5455978731,0.05875899816,,,
255,Mohammad Hasnain,13,3.25,0.14,0.2816666667,0.105,-0.5477695429,0.05658732836,,,
256,Shawaiz Irfan,13,4.33,0.19,0.3752666667,0.111,-0.5472226327,0.05713423856,,,
257,Sahil Yousaf,13,4.33,0.19,0.3752666667,0.111,-0.5472226327,0.05713423856,,,
258,Sohaib Sultan,13,6.5,0.28,0.5633333333,0.149,-0.5461237483,0.05823312296,,,
259,Asif Ali,12,6,0.24,0.48,0.135,-0.5466106698,0.05774620148,,,
260,Asfand Mehran,12,12,0.48,0.96,0.203,-0.5438060021,0.06055086921,,,
261,Asadullah Hamza,12,12,0.48,0.96,0.203,-0.5438060021,0.06055086921,,,
262,Umar Lohya,12,6,0.24,0.48,0.135,-0.5466106698,0.05774620148,,,
263,Aarish Ali,11,5.5,0.20,0.4033333333,0.118,-0.5470586376,0.05729823372,,,
264,Tahir Hussain,11,11,0.40,0.8066666667,0.182,-0.5447019376,0.05965493368,,,
265,Arif Yaqoob,11,5.5,0.20,0.4033333333,0.118,-0.5470586376,0.05729823372,,,
266,Tariq Nawaz,9,9,0.27,0.54,0.142,-0.5462600863,0.05809678495,,,
