Player ID,Player Name,Tournament,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Special Batting Talent,Balls Bowled,Runs Given,Wickets Taken,Maidens Bowled,Batters Dismissed,5
5,Jahandad Khan  Champions one,President's Cup One-Day 2024,1,1,1,4,320,8,300,250,7,270,51,27,8,NO,,34,0,0,,53,
5,Jahandad Khan  Champions one,President's Cup One-Day 2024,8,2,1,5,169,1,155,168,10,260,,,,,,30,2,0,"1,3",27,
5,Jahandad Khan  Champions one,President's Cup One-Day 2024,13,2,1,2,156,9,215,249,9,270,5,8,7,YES,,42,2,1,"6,9",29,
5,Jahandad Khan  Champions one,President's Cup One-Day 2024,15,2,1,3,224,8,258,220,10,265,0,4,8,YES,,48,1,0,2,39,
5,Jahandad Khan  Champions one,President's Cup One-Day 2024,18,2,4,1,271,10,257,342,9,300,1,4,5,YES,,42,1,0,9,38,
6,Shamyl Hussain Champions,National T-20 2025,1,2,3,1,73,5,79,159,6,120,6,10,1,YES,,,,,,,
6,Shamyl Hussain Champions,National T-20 2025,16,1,3,5,184,7,120,116,6,120,22,11,1,YES,,,,,,,
6,Shamyl Hussain Champions,National T-20 2025,19,1,3,4,166,4,120,130,10,117,75,54,1,YES,,,,,,,
6,Shamyl Hussain Champions,National T-20 2025,31,1,3,2,118,9,120,119,3,103,17,17,1,YES,,,,,,,
6,Shamyl Hussain Champions,QAT 2025,5,1,R 2,R 3,117,10,249,100,10,237,10,27,1,YES,,,,,,,
6,Shamyl Hussain Champions,QAT 2025,,3,,,419,7,636,110,10,244,17,28,1,YES,,,,,,,
6,Shamyl Hussain Champions,QAT 2025,11,2,R 2,R 6,343,10,555,140,10,253,5,10,1,YES,,,,,,,
6,Shamyl Hussain Champions,QAT 2025,,,,,,,,96,10,125,,,,,,,,,,,
6,Shamyl Hussain Champions,QAT 2025,29,1,R 2,R 1,167,10,286,214,10,376,1,8,1,YES,,,,,,,
6,Shamyl Hussain Champions,QAT 2025,,3,,,155,10,296,113,5,152,15,29,1,YES,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,4,1,1,3,162,5,120,150,7,120,4,3,1,YES,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,14,1,1,3,168,10,120,169,7,114,18,18,1,YES,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,17,1,1,2,147,9,120,118,10,111,2,7,2,YES,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
6,Shamyl Hussain Champions,Champions T20 cup 2024,DNP,,,,,,,,,,,,,,,,,,,,
6,Shamyl Hussain Champions,President's Trophy Grade-I 2024,1,2,1st in Group,7th in Group,333,10,490,406,10,589,17,82,2,YES,,,,,,,
6,Shamyl Hussain Champions,President's Trophy Grade-I 2024,,4,,,335,6,402,261,10,612,2,11,2,YES,,,,,,,
6,Shamyl Hussain Champions,President's Trophy Grade-I 2024,6,1,1st in Group,2nd in Group,93,10,259,414,9,589,27,70,1,YES,,,,,,,
6,Shamyl Hussain Champions,President's Trophy Grade-I 2024,,3,,,215,10,405,,,,49,104,1,YES,,,,,,,
6,Shamyl Hussain Champions,President's Trophy Grade-I 2024,12,1,1st in Group,6th in Group,335,10,513,479,10,883,8,17,1,YES,,,,,,,
6,Shamyl Hussain Champions,President's Trophy Grade-I 2024,,3,,,456,3,680,,,,3,15,3,YES,,,,,,,
6,Shamyl Hussain Champions,President's Trophy Grade-I 2024,16,2,1st in Group,9th in Group,531,9,684,164,10,276,229,274,1,YES,,,,,,,
6,Shamyl Hussain Champions,President's Trophy Grade-I 2024,,4,,,,,,279,10,415,,,,,,,,,,,
6,Shamyl Hussain Champions,President's Trophy Grade-I 2024,20,2,1st in Group,3rd in Group,325,10,513,238,10,332,20,36,1,YES,,,,,,,
6,Shamyl Hussain Champions,President's Trophy Grade-I 2024,,4,,,248,3,254,329,10,494,143,137,1,NO,,,,,,,
6,Shamyl Hussain Champions,President's Trophy Grade-I 2024,22,1,1st in Group,5th in Group,421,10,617,180,10,317,42,48,1,YES,,,,,,,
6,Shamyl Hussain Champions,President's Trophy Grade-I 2024,,3,,,112,10,274,335,7,728,47,64,1,YES,,,,,,,
6,Shamyl Hussain Champions,President's Trophy Grade-I 2024,26,1,1st in Group,8th in Group,425,10,651,179,10,284,76,100,1,YES,,,,,,,
6,Shamyl Hussain Champions,President's Trophy Grade-I 2024,,3,,,,,,152,10,212,,,,,,,,,,,
6,Shamyl Hussain Champions,President's Trophy Grade-I 2024,29,2,1st in Group,4th in Group,273,10,471,278,10,557,DNP,,,,,,,,,,
6,Shamyl Hussain Champions,President's Trophy Grade-I 2024,,4,,,259,4,322,249,10,473,DNP,,,,,,,,,,
6,Shamyl Hussain Champions,President's Trophy Grade-I 2024,37,2,Winner,Runner Up,317,10,536,205,10,326,6,15,1,YES,,,,,,,
6,Shamyl Hussain Champions,President's Trophy Grade-I 2024,,4,,,154,4,241,264,10,458,58,67,1,YES,,,,,,,
7,Yasir Khan,National T-20 2025,5,1,3,2,104,10,111,105,7,79,4,2,1,YES,,,,,,,
7,Yasir Khan,National T-20 2025,15,2,3,1,183,10,116,207,3,120,5,9,1,YES,,,,,,,
7,Yasir Khan,National T-20 2025,23,1,3,4,218,3,120,127,10,104,2,6,1,YES,,,,,,,
7,Yasir Khan,National T-20 2025,,,,,,,,,,,,,,YES,,,,,,,
7,Yasir Khan,QAT 2025,10,2,R 3,R 6,375,10,533,82,10,199,,,,,,,,,,,
7,Yasir Khan,QAT 2025,,4,,,,,,,,,,,,,,,,,,,
7,Yasir Khan,QAT 2025,25,2,R 3,R 4,198,10,243,145,10,228,4,9,2,YES,,,,,,,
7,Yasir Khan,QAT 2025,,4,,,26,1,19,74,10,97,24,17,2,NO,,,,,,,
7,Yasir Khan,QAT 2025,32,2,R 3,R 2,324,10,519,233,10,354,13,16,2,YES,,,,,,,
7,Yasir Khan,QAT 2025,,4,,,392,7,673,198,6,252,8,9,2,YES,,,,,,,
