Player Name,Player ID
Momin Qamar,279
Mohammad Akram,280
Hammad Hamza,281
Ali Hamza Wasim,282
Ali Shabbir,283
Mohammad Alamgir,284
Mohammad Umair,285
Ali Umer,286
Mehran Sanwal,287
Ali Afzal,288
Shoaib Manzoor,289
Shayan Khalil,290
Muhammad Riazullah,291
Zain Ishaq,292
Mehroz Rasheed,293
Shujah Ur Rehman,294
Arsalan Sajid,295
Israr Hussain,296
Mohammad Bilal,297
Khayam Khan,298
Khalid Usman,299
Mohammad Arif,300
Fayyaz Khan,301
Atizaz Habib Khan,302
Shujah Zaheer,303
Mohammad Adil,304
Naseerullah Khan,305
Afaq Ahmed,306
Ali Imran,307
Raja Hamza Waheed Ogdcl,308
Arshad Iqbal,309
Yasir Shah,310
Aqib Khan,311
Adil Naz,312
Farmanullah,313
Arsal Shaikh,314
Hammad Siddique,315
Umair Riaz,316
Kaleem Dil,317
Abdullah Fazal,318
Jahanzaib Sultan,319
Haroon Arshad,320
Khurram Manzooz,321
Saifullah,322
Mohammad Nadeem,323
M Hamza,324
Arish Ali Khan,325
M Faiq,326
Saad Naseem,327
Azeem Ghumman,328
Kamran Afzal,329
Azeem Dar,330
Zain Bin Farooq,331
Jawad Ali,332
Hassan Rizwan,333
Majid Asghar,334
Saddam Hussain,335
Ubaid Ullah,336
Mustafa Nasir,337
Akbar Khan,338
Imam-ul-Haq,339
Omair bin Yousuf,340
Fakhar Zaman,341
Kamran Ghulam,342
Zain Abbas,343
Bismillah Khan,344
Imran Dogar,345
Ali Zaryab,346
Haseebullah,347
Khawaja Nafay,348
M Faizan,349
Muhammad Shahzad,350
Israrullah,351
Sarmad Bhatti,352
Nabi Gul,353
Abdul Samad,354
Muhammad Rizwan,355
Ali Shan,356
Salman Ali Agha,357
Iftikhar Ahmed,358
Muhammad Nawaz,359
Sarwar Afridi,360
Saad Masood,361
Muhammad Imran,362
Ahmed Khan,363
Bilawal Bhatti,364
Naseem Shah,365
Shahnawaz Dahani,366
Akif Javed,367
Nisar Ahmed,368
Ali Shafiq,369
Naqeeb Ullah,370
Zahid Mehmood,371
Niaz Khan,372
Muhammad Rameez,373
Ali Usman,374
M Tahir,375
Fahad Munir,376
M Nadeem,377
Raja Hamza Waheed,378
