Player ID,Tournament,Match ID,Innings,Runs Made,Balls Faced,Dismissed,Batting Position,Balls Bowled,Wickets Taken,Maidens Bowled,Batters Dismissed,Runs Conceded,Special Bowling Talent
22,National T20 2025,11,1,DNB,NA,NA,NA,24,2,0,"3,4",34,NA
22,Champions T20 2024-25,2,1,DNB,NA,NA,NA,24,1,0,7,41,NA
22,Champions T20 2024-25,4,1,DNB,NA,NA,NA,24,0,0,NA,42,NA
22,Champions T20 2024-25,7,2,DNB,NA,NA,NA,18,2,0,"5,6",36,NA
