Player ID,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs (Own Team),Wickets Lost (Own Team),Balls Played (Own Team),Total Runs (Opposition),Wickets Lost (Opposition),Balls Played (Opposition),Runs Made,Balls Consumed,Batting Position,Dismissed,Special Batting Talent,Balls Bowled,Wickets Taken,Maidens Bowled,Batters Dismissed,Special Bowling Talent,Tournament
29,5,2,R 3,R 5,529,10,715,256,10,371,47,108,1,YES,,DNB,DNB,DNB,DNB,,QAT
29,5,4,R 3,R 5,72,4,84,493,10,742,8,11,1,YES,,DNB,DNB,DNB,DNB,,QAT
29,10,2,R 3,R 6,375,10,533,82,10,199,2,17,1,YES,,NA,NA,NA,NA,,QAT
29,2,2,6,5,268,10,501,151,10,290,13,50,1,YES,,NA,NA,NA,NA,,President's Trophy
29,2,4,6,5,313,10,466,140,9,243,18,22,1,YES,,NA,NA,NA,NA,,President's Trophy
29,6,2,6,8,183,10,345,137,10,277,12,20,1,YES,,NA,NA,NA,NA,,President's Trophy
29,6,4,6,8,63,10,131,239,10,498,0,5,1,YES,,NA,NA,NA,NA,,President's Trophy
29,24,2,6,3,499,10,826,406,10,583,77,131,2,YES,,NA,NA,NA,NA,,President's Trophy
29,24,4,6,3,31,2,54,288,10,608,8,21,2,YES,,NA,NA,NA,NA,,President's Trophy
29,32,1,6,9,353,10,596,199,10,376,4,12,1,YES,,NA,NA,NA,NA,,President's Trophy
29,32,3,6,9,335,5,494,277,6,636,44,74,2,YES,,NA,NA,NA,NA,,President's Trophy
29,35,2,6,150,150,10,290,119,10,194,13,22,2,YES,,NA,NA,NA,NA,,President's Trophy
29,35,4,6,150,384,3,652,568,9,918,77,171,2,YES,,NA,NA,NA,NA,,President's Trophy
